,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
804,Slazenger IKARUS Koşu & Yürüyüş Erkek Ayakkabı Siyah / Siyah,129.0,299.0,57,freeShipping,100,1,Slazenger,92,3
805,Kinetix STARK 1FX Sneaker Erkek Spor Ayakkabı,149.0,0.0,0,freeShipping,0,0,akranayakkabı,95,3
806,Kinetix NAVEN TX M 1FX Siyah Erkek Sneaker Ayakkabı,116.0,0.0,0,freeShipping,100,2,INSTREET,92,3
807,Pabucmarketi Kadın Mavi Keten Bot Spor Ayakkabı,108.0,216.0,50,freeShipping,0,0,bolbolcuavm,100,3
808,U.S. Polo Assn. CAMERON WT 9PR Kırmızı Kız Çocuk Sneaker Ayakkabı,128.0,0.0,0,freeShipping,100,1,White-Starss,100,3
809,Dero Filling Polo Erkek Spor Ayakkabı DR044,124.0,145.0,14,freeShipping,100,4,dero,100,3
810,M.P. Filet Çocuk Krampon 211-1813FT,105.0,0.0,0,freeShipping,0,0,CİHANGİR,83,3
811,Twingo 302 Çocuk Kar Botu,146.0,149.0,2,freeShipping,0,0,KOCAMANLAR-AYAKKABI,99,3
812,KINETIX ROLY FX LACİVERT GÜNLÜK ERKEK ÇOCUK SPOR AYAKKABI,109.0,124.0,12,freeShipping,0,0,bizimayakkabici,100,3
813,Dunlop Erkek Ayakkabı 109106M,111.0,149.0,26,freeShipping,0,0,markastok,100,3
814,Forza 3820 Anatomik (40-45) Erkek Spor Ayakkabı,129.0,169.0,24,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,3
815,M.P 211-1806 Erkek Halısaha Spor Ayakkabı,107.0,179.0,40,freeShipping,0,0,Viaspor,100,3
816,Jump 18089-A Siyah Futsal Voleybol Erkek Salon Spor Ayakkabı,125.0,244.0,49,freeShipping,0,0,Potincim,100,3
817,KINETIX ABELLA SİYAH GÜNLÜK KADIN SPOR AYAKKABI,129.0,144.0,10,freeShipping,0,0,bizimayakkabici,100,3
818,Polaris Sabo 92.00A450.Z Beyaz Kadın Terlik,149.0,189.0,21,freeShipping,0,0,MarcaSpor,95,3
819,Lumberjack LOLA PU 1PR Beyaz Kız Çocuk Yürüyüş Ayakkabısı,134.0,169.0,21,freeShipping,0,0,INSTREET,92,3
820,Slazenger KEYLESS Yürüyüş Erkek Ayakkabı Siyah / Siyah,109.0,184.0,41,freeShipping,0,0,Slazenger,92,3
821,Slazenger KROM  Sneaker Erkek Ayakkabı Siyah / Siyah,119.0,184.0,35,freeShipping,0,0,Slazenger,92,3
822,Slazenger TROY Sneaker Erkek Ayakkabı Siyah / Beyaz,139.0,249.0,44,freeShipping,60,1,Slazenger,92,3
823,Slazenger SHELL I Koşu & Yürüyüş Erkek Ayakkabı Lacivert,119.0,279.0,57,freeShipping,80,1,Slazenger,92,3
824,Slazenger GENOA Sneaker Erkek Ayakkabı Siyah / Siyah,119.0,204.0,41,freeShipping,0,0,Slazenger,92,3
825,U.S. Polo Assn. Lovely Kadın Günlük Spor Ayakkabı,147.0,199.0,26,freeShipping,0,0,dalkilicspor,93,3
